City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2022-01-26 01:26:05,-26.6481,15.1594,73.58,61,6,21.77
68,Sri Aman,MY,2022-01-26 01:26:06,1.2376,111.4621,78.85,94,20,0.0
69,Kasama,ZM,2022-01-26 01:26:06,-10.2129,31.1808,61.27,95,100,5.57
70,Collie,AU,2022-01-26 01:26:06,-33.3667,116.15,65.98,47,0,7.83
71,Bethel,US,2022-01-26 01:26:07,41.3712,-73.414,33.57,59,0,3.44
72,Dikson,RU,2022-01-26 01:26:07,73.5069,80.5464,11.59,92,100,30.04
73,Saskylakh,RU,2022-01-26 01:26:08,71.9167,114.0833,10.33,85,100,19.24
74,Portland,US,2022-01-26 01:26:08,45.5234,-122.6762,46.49,69,20,1.99
75,Byron Bay,AU,2022-01-26 01:22:18,-28.65,153.6167,78.91,86,100,5.14
76,Leshukonskoye,RU,2022-01-26 01:26:08,64.8989,45.7622,7.72,96,53,4.76
77,Raga,SS,2022-01-26 01:26:09,8.4596,25.678,69.64,23,100,4.43
78,Broken Hill,AU,2022-01-26 01:26:09,-31.95,141.4333,89.31,43,75,8.05
79,Karatau,KZ,2022-01-26 01:26:09,43.1667,70.4667,25.3,72,3,3.83
80,Butaritari,KI,2022-01-26 01:26:10,3.0707,172.7902,82.15,79,20,16.62
81,Mishelevka,RU,2022-01-26 01:26:10,52.8575,103.1719,-19.8,100,100,1.57
82,Popondetta,PG,2022-01-26 01:26:10,-8.7537,148.2534,87.62,67,100,4.32
83,Rantauprapat,ID,2022-01-26 01:26:11,2.1,99.8333,74.25,96,100,1.3
84,Onega,RU,2022-01-26 01:26:11,63.9061,38.1404,2.62,97,64,3.53
85,Turukhansk,RU,2022-01-26 01:26:11,65.8167,87.9833,-17.39,100,91,6.33
86,Saint-Philippe,RE,2022-01-26 01:26:12,-21.3585,55.7679,72.99,69,95,12.44
87,Winsum,NL,2022-01-26 01:26:12,53.33,6.5208,39.18,92,100,10.04
88,Havre-Saint-Pierre,CA,2022-01-26 01:26:12,50.2334,-63.5986,14.59,85,100,17.27
89,Bloemfontein,ZA,2022-01-26 01:26:13,-29.1211,26.214,63.88,77,41,3.44
90,Yellowknife,CA,2022-01-26 01:26:13,62.456,-114.3525,1.42,89,75,14.97
91,Buraydah,SA,2022-01-26 01:26:13,26.326,43.975,52.25,41,0,10.98
92,Brainerd,US,2022-01-26 01:27:14,46.358,-94.2008,-5.78,59,0,8.05
