,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,81.25,62,79,7.67,broken clouds
80,Longonjo,AO,-12.9067,15.2533,78.39,83,85,4.47,light rain
81,Chuy,UY,-33.6971,-53.4616,71.85,56,55,9.71,broken clouds
82,East London,ZA,-33.0153,27.9116,76.14,57,0,17.27,clear sky
83,Antofagasta,CL,-23.65,-70.4,69.08,64,45,9.33,scattered clouds
84,Porto Velho,BR,-8.7619,-63.9039,80.65,83,75,4.61,moderate rain
85,Longyearbyen,SJ,78.2186,15.6401,12.04,67,0,12.66,clear sky
86,Vicuna,CL,-30.0319,-70.7081,85.77,38,0,8.93,clear sky
87,Batouri,CM,4.4333,14.3667,93.7,13,10,4.52,clear sky
88,Monte Alegre,BR,-2.0078,-54.0692,83.23,69,68,5.14,broken clouds
89,Rio Bananal,BR,-19.265,-40.3333,89.22,51,24,7.9,few clouds
90,Port Augusta,AU,-32.5,137.7667,71.74,68,77,18.34,broken clouds
91,Brewster,US,41.3973,-73.6171,32.59,67,100,4.61,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,72.72,49,9,12.66,clear sky
93,Asau,RO,46.4333,26.4,38.32,72,26,15.99,scattered clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,73.42,59,0,3.0,clear sky
95,Oroville,US,39.5138,-121.5564,56.73,72,0,0.0,clear sky
96,Bandarbeyla,SO,9.4942,50.8122,75.97,67,53,24.16,broken clouds
97,Esperance,AU,-33.8667,121.9,62.44,79,0,16.64,clear sky
98,Kahului,US,20.8947,-156.47,67.26,82,0,0.0,clear sky
99,Qaanaaq,GL,77.484,-69.3632,-7.55,69,95,8.39,overcast clouds
100,Havelock,US,34.8791,-76.9013,42.75,65,20,10.36,few clouds
101,Scarborough,GB,54.2797,-0.4044,49.51,84,99,5.01,overcast clouds
102,Puranpur,IN,28.5167,80.15,51.42,66,0,6.08,clear sky
